root@comp3134:~# tcpdump -i enp1s0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:44.324952 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6872:7100, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324972 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7100:7136, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.325001 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7136:7364, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325025 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7364:7400, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.325053 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7400:7628, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325093 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7628:7664, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.325125 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7664:7892, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325144 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7892:7928, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.325178 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7928:8156, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325197 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8156:8192, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.325223 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8192:8420, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325248 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8420:8456, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.325277 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8456:8684, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325330 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8720:8948, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.325378 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8984:9212, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
