root@comp3134:~# tcpdump -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:38.760157 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8420:8456, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.760185 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8456:8684, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760238 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8720:8948, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760288 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8984:9212, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760337 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9248:9476, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760390 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9512:9740, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760441 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9776:10004, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760489 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10040:10268, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760534 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10304:10532, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760584 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10568:10796, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760633 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10832:11060, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760685 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11096:11324, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760736 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11360:11588, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760820 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11624:11852, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760873 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11888:12116, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760926 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12152:12380, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.760974 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12416:12644, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761028 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12680:12908, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761097 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12944:13172, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761145 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13208:13436, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761194 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13472:13700, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761244 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13736:13964, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761296 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14000:14228, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761345 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14264:14492, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761394 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14528:14756, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
20:25:38.761441 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14792:15020, ack 1, win 501, options [nop,nop,TS val 1835574706 ecr 487754294], length 228
