root@comp3134:~# tcpdump -i enp1s0 src 155.138.140.26
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:34:28.839750 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7620:7656, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839782 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7656:7884, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839809 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7884:7920, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839838 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7920:8148, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839860 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8148:8184, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839890 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8184:8412, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839910 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8412:8448, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839942 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8448:8676, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839963 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8676:8712, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839990 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8712:8940, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840013 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8940:8976, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.840043 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8976:9204, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840063 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9204:9240, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.840093 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9240:9468, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840141 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9504:9732, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840196 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9768:9996, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840250 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10032:10260, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840311 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10296:10524, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840379 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10560:10788, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840431 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10824:11052, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840479 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11088:11316, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.840530 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11352:11580, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840581 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11616:11844, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840630 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11880:12108, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840678 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12144:12372, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840729 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12408:12636, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840789 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12672:12900, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840892 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12936:13164, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840940 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13200:13428, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.840994 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13464:13692, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841044 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13728:13956, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841114 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13992:14220, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841161 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14256:14484, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841214 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14520:14748, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841267 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14784:15012, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841327 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15048:15276, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
20:34:28.841387 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15312:15540, ack 1, win 501, options [nop,nop,TS val 1836104786 ecr 488284367], length 228
