root@comp3134:~# tcpdump -n -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:31:00.364297 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5724:5760, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364330 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5760:5964, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364361 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5964:6000, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364398 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6000:6204, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364425 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6204:6240, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364468 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6240:6444, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364495 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6444:6480, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 36
20:31:00.364529 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6480:6684, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.364561 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6684:6720, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 36
20:31:00.364600 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6720:6924, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.364631 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6924:6960, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 36
20:31:00.364669 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 6960:7164, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.364733 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 7200:7404, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.364834 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 7440:7644, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.364896 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 7680:7884, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.364971 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 7920:8124, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.365047 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 8160:8364, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.365140 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 8400:8604, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.365213 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 8640:8844, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
20:31:00.365292 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 8880:9084, ack 1, win 501, options [nop,nop,TS val 1835896310 ecr 488075894], length 204
