root@comp3134:~# tcpdump -i enp1s0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:15.060961 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6028:6064, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060990 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6064:6292, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061016 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6292:6328, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.061045 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6328:6556, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061092 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6556:6592, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.061130 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6592:6820, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061154 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6820:6856, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.061188 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6856:7084, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061209 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7084:7120, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.061239 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7120:7348, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061263 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7348:7384, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.061291 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7384:7612, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061348 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7648:7876, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061403 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7912:8140, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061466 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8176:8404, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.061529 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8440:8668, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061590 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8704:8932, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061635 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8932:8968, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 36
20:32:15.061701 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9232:9460, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061758 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9496:9724, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061812 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 9760:9988, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061868 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10024:10252, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061919 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10288:10516, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.061978 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10552:10780, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062032 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 10816:11044, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062094 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11080:11308, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062156 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11344:11572, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062215 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11608:11836, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062251 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 11836:11872, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 36
20:32:15.062286 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12100:12136, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 36
20:32:15.062365 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12400:12628, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062425 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12664:12892, ack 1, win 501, options [nop,nop,TS val 1835971007 ecr 488150586], length 228
20:32:15.062489 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 12928:13156, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062551 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13192:13420, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062611 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13456:13684, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062693 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13720:13948, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062754 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 13984:14212, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062807 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14248:14476, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062862 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14512:14740, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062925 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 14776:15004, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.062974 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15040:15268, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063034 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15304:15532, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063103 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15568:15796, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 228
20:32:15.063142 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 15796:15832, ack 1, win 501, options [nop,nop,TS val 1835971008 ecr 488150586], length 36
